market,venue,city,venue_type,screens,est_impressions_4wk,list_rate_4wk,rate_at_10plus_screens_4wk,list_rate_per_screen_4wk
Tupelo,VIBE Performance and Testosterone,Tupelo,MedSpa & Wellness,1,10378,50,40,50.00
Starkville,39759 Nutrition,Starkville,Coffee & Smoothie,1,4531,25,20,25.00
Starkville,Arepas Coffee & Bar,Starkville,Coffee & Smoothie,1,8354,40,32,40.00
Starkville,Bennett Home Furniture & More,Starkville,Retail & Boutique,1,3877,25,20,25.00
Starkville,BJ's Family Pharmacy,Starkville,Pharmacy,1,2517,25,20,25.00
Starkville,Cannon Chevrolet GMC of West Point,West Point,Auto Dealer,1,14715,75,60,75.00
Starkville,Cellars Wine & Spirits,Starkville,Liquor & Wine,1,2920,25,20,25.00
Starkville,Copy Cow,Starkville,Print Shop,1,2266,25,20,25.00
Starkville,Elm Lake Golf Course,Columbus,Golf Course,2,11868,60,48,30.00
Starkville,Hobie's Tiki Dawgs & Daqs,Starkville,Bar & Nightlife,1,25641,130,104,130.00
Starkville,Legends Hair Salon,Starkville,Salon & Barber,1,7035,35,28,35.00
Starkville,Little Magnolia Gifts & Apparel - Starkville,Starkville,Retail & Boutique,1,3372,25,20,25.00
Starkville,Lucky Nails & Spa,Starkville,Nail Salon,1,7637,40,32,40.00
Starkville,Magnolia Dermatology: Columbus Clinic,Columbus,Medical Clinic,1,6928,35,28,35.00
Starkville,"Mississippi Asthma & Allergy Clinic, PA - Starkville",Starkville,Medical Clinic,1,8809,45,36,45.00
Starkville,Mississippi Ice Daiquiri Shop,Starkville,Bar & Nightlife,1,29435,145,116,145.00
Starkville,Montgomery's Jewelry,Starkville,Retail & Boutique,1,3398,25,20,25.00
Starkville,Oktibbeha County Co-op,Starkville,Farm Co-op,1,4154,25,20,25.00
Starkville,Revive Wellness Clinic - Starkville,Starkville,MedSpa & Wellness,1,6831,35,28,35.00
Starkville,Right Track Medical Group - Starkville,Starkville,Medical Clinic,2,11011,55,44,27.50
Starkville,Skate Odyssey Inc,Starkville,Skating Rink,1,24414,120,96,120.00
Starkville,Skate Zone,Columbus,Skating Rink,1,16800,85,68,85.00
Starkville,Starkvegas Pawnshop,Starkville,Pawn Shop,1,3549,25,20,25.00
Starkville,Starkville Parks and Recreation,Starkville,Parks & Recreation,1,30064,150,120,150.00
Starkville,Starkville Veterinary Hospital,Starkville,Veterinary,1,4332,25,20,25.00
Starkville,The Breakfast Club,Starkville,Restaurant,1,14847,75,60,75.00
Starkville,Two Brothers Smoked Meats,Starkville,Restaurant,3,24982,125,100,41.67
Starkville,Umi Japanese Steakhouse & Sushi Bar,Starkville,Restaurant,1,16655,85,68,85.00
Starkville,Uno Mas Tacos y Tequila Starkville,Starkville,Restaurant,3,20513,105,84,35.00
Starkville,William Wells Tire & Auto,Starkville,Auto Service & Collision,1,6767,35,28,35.00
